year,GDP_current_USD,GDP_per_capita_USD,electricity_access_percent,inflation_rate,internet_users_percent,literacy_rate,total_population,unemployment_rate,GDP_growth_pct,GDP_billions
1981,,,,,,29.2299995422363,,,,
1990,,,,,0.0,,,,,
1991,,,,,,35.3199996948242,,,,
1994,,,17.8,,,,,,,
1995,,,18.3380451202393,,,,,,,
1996,46438484107.5795,371.917937677345,21.1443862915039,2.37712902953223,,,124862179.0,2.51,,46.4384841075795
1997,48244309133.4895,379.284917709635,22.4,5.30560105668802,0.000751,,127198069.0,2.698,3.8886390471459586,48.2443091334895
1998,49984559471.3656,385.616881752796,26.7461929321289,8.40223795613228,0.00368,,129622332.0,2.893,3.60716189978163,49.9845594713656
1999,51270569883.5275,388.095684268235,29.5402145385742,6.10669589841958,0.0362,,132108065.0,3.088,2.5728153369013906,51.27056988352749
2000,53369787318.6245,396.670730249751,32.0,2.20825620937535,0.0710394230507683,,134544304.0,3.27,4.094390680395876,53.369787318624496
2001,53991289844.3291,394.65641001891,35.0,2.0071737421384,0.129807973947512,47.4900016784668,136805810.0,3.609,1.1645212711719477,53.9912898443291
2002,54724081490.5102,393.886422327628,37.8,3.33256493271913,0.13992028850905,,138933658.0,3.966,1.3572404887786993,54.7240814905102
2003,60158929188.2556,426.74880754362,40.5,5.66870773441476,0.163877665498048,,140970351.0,4.32,9.931363943838623,60.1589291882556
2004,65108544250.0425,455.614016909798,40.6,7.5875363850469,0.199036333744363,,142902856.0,4.316,8.227565098936607,65.1085442500425
2005,69476001239.419,480.08585075452,44.2,7.04661816222039,0.241600007,,144715786.0,4.25,6.707962894399455,69.476001239419
2006,71795736172.1561,490.388026533289,50.5,6.76526117054757,1.0,,146405973.0,3.591,3.338901046914211,71.7957361721561
2007,79611644974.5571,537.955492792911,46.5,9.10698496905383,1.799999952,,147989278.0,4.015,10.88631333713126,79.6116449745571
2008,91636997370.9772,613.06204104124,54.3,8.90194489465154,2.5,,149474264.0,4.49,15.105016860615383,91.6369973709772
2009,102475158190.998,679.211477428056,57.1,5.42347236174679,3.099999905,,150873714.0,5.0,11.827276243179696,102.475158190998
2010,115275540051.262,757.385280361508,55.3,8.12667639169917,3.700000048,,152201981.0,3.379,12.49120478194925,115.275540051262
2011,128607482310.357,837.336944695647,59.6,11.3951651552399,4.5,58.7700004577637,153591076.0,3.737,11.56528284592413,128.607482310357
2012,133310747603.483,859.680536375497,65.5,6.21750422069284,5.0,57.8600006103516,155070101.0,4.07,3.6570697199219238,133.310747603483
2013,149998957434.186,958.262989798283,61.5,7.53040640913172,6.63,61.0200004577637,156532141.0,4.426,12.518277881345409,149.998957434186
2014,172886611653.786,1094.46199702838,62.4,6.99163889220849,9.052900314,61.0900001525879,157964929.0,4.417,15.25854219996312,172.88661165378602
2015,195146608978.131,1224.38647668165,74.0,6.19428022984984,12.36880016,65.1399993896484,159383179.0,4.397,12.875489380821303,195.146608978131
2016,265224515675.034,1649.28380858601,75.9,5.51352572692995,16.89909935,72.7600021362305,160811932.0,4.35,35.910389149911495,265.224515675034
2017,293732446624.596,1811.08221668646,88.0,5.70207015717239,21.5,72.8899993896484,162186147.0,4.372,10.748603264296763,293.73244662459604
2018,321362752441.78,1965.24372731467,86.9,5.54362139486476,25.56509972,73.9100036621094,163523103.0,4.439,9.406623658603452,321.36275244178
2019,351231654603.692,2129.79896954606,92.2,5.59199639930629,30.38310051,74.6800003051758,164913055.0,4.504,9.294450565587308,351.231654603692
2020,373979442362.193,2248.85078828233,96.2,5.69107474746211,36.10910034,74.9100036621094,166298024.0,5.539,6.476576772150033,373.97944236219297
2021,416271647911.014,2482.84917843357,99.0,5.54565430773473,38.91744466,76.3600006103516,167658854.0,5.457,11.308697954542012,416.271647911014
2022,460131689083.083,2716.48592780431,99.4,7.69695437176898,41.61650085,79.0,169384897.0,4.593,10.536398861698348,460.131689083083
2023,437415333018.291,2551.01773827307,99.5,9.8835030377921,44.50274195,,171466990.0,3.352,-4.936924929047926,437.415333018291
2024,450119432068.852,2593.41611680774,,10.4657482763412,53.42171316,,173562364.0,3.635,2.9043561328541134,450.119432068852
2025,456319229255.578,2597.34352335275,,8.7687628116114,,,175686899.0,3.778,1.377367148587716,456.319229255578
