year,value,indicator,country
1996,46438484107.5795,GDP_current_USD,Bangladesh
1997,48244309133.4895,GDP_current_USD,Bangladesh
1998,49984559471.3656,GDP_current_USD,Bangladesh
1999,51270569883.5275,GDP_current_USD,Bangladesh
2000,53369787318.6245,GDP_current_USD,Bangladesh
2001,53991289844.3291,GDP_current_USD,Bangladesh
2002,54724081490.5102,GDP_current_USD,Bangladesh
2003,60158929188.2556,GDP_current_USD,Bangladesh
2004,65108544250.0425,GDP_current_USD,Bangladesh
2005,69476001239.419,GDP_current_USD,Bangladesh
2006,71795736172.1561,GDP_current_USD,Bangladesh
2007,79611644974.5571,GDP_current_USD,Bangladesh
2008,91636997370.9772,GDP_current_USD,Bangladesh
2009,102475158190.998,GDP_current_USD,Bangladesh
2010,115275540051.262,GDP_current_USD,Bangladesh
2011,128607482310.357,GDP_current_USD,Bangladesh
2012,133310747603.483,GDP_current_USD,Bangladesh
2013,149998957434.186,GDP_current_USD,Bangladesh
2014,172886611653.786,GDP_current_USD,Bangladesh
2015,195146608978.131,GDP_current_USD,Bangladesh
2016,265224515675.034,GDP_current_USD,Bangladesh
2017,293732446624.596,GDP_current_USD,Bangladesh
2018,321362752441.78,GDP_current_USD,Bangladesh
2019,351231654603.692,GDP_current_USD,Bangladesh
2020,373979442362.193,GDP_current_USD,Bangladesh
2021,416271647911.014,GDP_current_USD,Bangladesh
2022,460131689083.083,GDP_current_USD,Bangladesh
2023,437415333018.291,GDP_current_USD,Bangladesh
2024,450119432068.852,GDP_current_USD,Bangladesh
2025,456319229255.578,GDP_current_USD,Bangladesh
1996,371.917937677345,GDP_per_capita_USD,Bangladesh
1997,379.284917709635,GDP_per_capita_USD,Bangladesh
1998,385.616881752796,GDP_per_capita_USD,Bangladesh
1999,388.095684268235,GDP_per_capita_USD,Bangladesh
2000,396.670730249751,GDP_per_capita_USD,Bangladesh
2001,394.65641001891,GDP_per_capita_USD,Bangladesh
2002,393.886422327628,GDP_per_capita_USD,Bangladesh
2003,426.74880754362,GDP_per_capita_USD,Bangladesh
2004,455.614016909798,GDP_per_capita_USD,Bangladesh
